Word,Frequency
friday,7
twelve,19
oclock,45
night,350
clock,22
began,154
strike,13
cry,49
simultaneously,1
consideration,44
hour,106
birth,10
declared,8
nurse,20
sage,2
women,28
neighbourhood,28
who,658
taken,136
lively,15
several,68
months,46
there,1092
possibility,7
our,592
becoming,10
personally,7
acquainted,17
destined,6
unlucky,10
secondly,7
privileged,6
ghosts,4
spirits,50
both,206
gifts,1
inevitably,1
attaching,2
infants,1
either,42
gender,2
small,80
need,55
here,399
head,477
because,166
better,264
history,24
prediction,2
verified,1
falsified,2
result,21
second,53
branch,9
question,77
remark,24
ran,49
through,235
part,142
inheritance,3
while,257
baby,49
come,562
complain,10
kept,100
property,23
should,656
enjoyment,21
heartily,24
welcome,33
keep,115
caul,3
advertised,1
sale,10
newspapers,4
low,87
price,21
fifteen,5
guineas,5
seagoing,2
people,158
short,150
money,136
about,647
faith,14
preferred,13
cork,4
jackets,1
dont,504
solitary,36
bidding,7
attorney,5
connected,17
billbroking,1
business,106
offered,15
pounds,46
cash,1
balance,2
sherry,10
declined,10
guaranteed,1
drowning,2
higher,22
bargain,8
consequently,14
advertisement,6
withdrawn,6
dead,63
lossfor,1
poor,186
dear,569
mothers,51
market,18
thenand,2
ten,55
years,131
afterwards,117
up,873
raffle,1
country,75
fifty,9
members,9
halfacrown,5
winner,1
spend,15
five,59
shillings,21
remember,145
felt,259
quite,402
uncomfortable,34
confused,20
being,542
disposed,15
way,406
won,12
recollect,67
old,626
lady,115
handbasket,1
very,995
reluctantly,2
stipulated,4
halfpence,3
twopence,3
halfpenny,4
shortas,1
took,338
immense,18
great,386
waste,12
arithmetic,3
endeavour,20
without,320
effect,46
prove,10
her,3831
fact,62
remembered,29
remarkable,20
she,2665
never,661
drowned,7
died,41
triumphantly,6
bed,134
ninetytwo,1
understood,40
last,260
proudest,1
boast,2
water,69
except,85
upon,798
bridge,13
over,418
tea,71
extremely,46
partial,7
expressed,39
indignation,12
impiety,2
mariners,3
others,32
presumption,3
go,407
meandering,3
vain,27
represent,10
conveniences,3
included,7
resulted,3
objectionable,2
practice,9
always,355
returned,374
greater,53
emphasis,14
instinctive,3
knowledge,63
strength,25
objection,12
let,190
us,550
meander,1
blunderstone,24
suffolk,11
scotland,1
posthumous,1
fathers,22
eyes,349
closed,25
light,136
six,54
mine,151
opened,51
something,251
strange,58
even,231
reflection,20
saw,404
stranger,27
childish,29
associations,8
white,49
gravestone,1
churchyard,28
indefinable,4
compassion,14
used,153
feel,105
lying,57
alone,108
dark,85
parlour,69
warm,25
bright,63
fire,178
candle,28
doors,29
house,370
werealmost,1
cruelly,8
seemed,239
sometimesbolted,1
locked,13
against,147
aunt,754
greataunt,2
relate,8
principal,22
magnate,1
miss,710
trotwood,144
betsey,85
mother,386
called,120
overcame,1
dread,26
formidable,6
personage,3
mention,63
seldom,20
married,100
husband,47
younger,17
herself,191
handsome,31
sense,52
homely,10
adage,1
doesfor,1
strongly,18
suspected,6
beaten,9
disputed,3
supplies,1
hasty,9
determined,17
arrangements,21
throw,23
pair,35
stairs,41
window,120
evidences,3
incompatibility,1
temper,15
induced,12
pay,24
off,255
mutual,16
consent,17
went,549
india,16
capital,17
according,18
wild,39
legend,4
seen,209
riding,7
elephant,9
company,84
baboon,2
think,581
babooor,1
begum,1
anyhow,5
tidings,6
death,29
reached,19
home,314
within,113
affected,30
nobody,59
knew,247
immediately,68
maiden,2
bought,40
cottage,30
hamlet,3
seacoast,1
established,14
single,16
woman,139
servant,31
live,66
secluded,2
inflexible,4
retirement,7
father,98
hers,22
mortally,2
affronted,1
marriage,43
ground,64
wax,5
doll,6
twenty,66
met,58
double,14
age,31
delicate,18
constitution,8
year,52
came,458
state,158
matters,23
afternoon,48
what,1291
excused,4
calling,32
eventful,4
important,19
make,306
claim,23
known,106
stood,133
founded,6
evidence,13
senses,13
follows,11
sitting,129
poorly,8
health,17
tears,105
desponding,1
heavily,8
fatherless,3
already,65
welcomed,5
grosses,1
prophetic,3
pins,3
drawer,4
upstairs,59
excited,8
subject,113
arrival,15
windy,4
march,4
timid,15
sad,15
doubtful,14
coming,128
alive,21
trial,10
lifting,10
dried,4
opposite,40
garden,77
sure,209
foreboding,3
setting,13
glowing,4
gardenfence,1
walking,72
door,248
fell,83
rigidity,2
figure,67
countenance,20
belonged,10
gave,184
another,325
proof,8
identity,1
often,112
hinted,24
conducted,10
ordinary,7
christian,10
ringing,12
bell,27
looked,376
identical,8
pressing,9
nose,43
glass,59
extent,27
became,100
perfectly,51
flat,17
such,538
convinced,23
indebted,5
left,225
chair,109
agitation,18
gone,184
behind,116
corner,92
round,195
room,363
slowly,60
inquiringly,2
side,147
carried,46
saracens,1
dutch,7
until,231
then,611
frown,10
gesture,11
accustomed,25
obeyed,5
open,85
referring,13
mourning,12
weeds,6
condition,45
yes,230
faintly,17
visitor,9
heard,171
dare,54
answered,102
disagreeable,14
consciousness,17
appearing,18
imply,3
overpowering,3
bent,29
begged,29
walk,81
passage,26
lightednot,1
lighted,21
since,173
funeral,14
seated,17
after,441
vainly,5
trying,41
restrain,5
oh,362
tut,9
hurry,19
couldnt,103
help,110
notwithstanding,13
cried,186
your,572
cap,26
too,403
much,652
afraid,118
refuse,8
compliance,5
odd,22
request,17
disposition,25
told,248
nervous,11
hands,215
hair,118
luxuriant,1
beautiful,67
face,436
why,228
bless,68
exclaimed,63
doubt,120
unusually,7
youthful,20
appearance,51
hung,18
fault,15
thing,175
sobbing,17
widow,9
lived,79
pause,24
ensued,4
touch,39
ungentle,2
hand,484
hope,198
found,267
skirt,5
dress,36
tucked,4
folded,27
knee,25
feet,49
fender,12
frowning,5
heaven,54
suddenly,38
rookery,9
mean,136
maam,91
asked,200
cookery,7
practical,15
ideas,8
copperfields,8
choice,11
liked,50
rooks,10
evening,165
wind,70
disturbance,7
just,143
among,152
tall,14
elmtrees,4
bottom,19
neither,43
nor,60
forbear,3
glancing,40
elms,2
giants,4
whispering,11
secrets,6
few,107
seconds,3
repose,6
violent,13
flurry,1
tossing,4
arms,93
late,77
really,178
wicked,15
peace,35
weatherbeaten,2
ragged,11
rooksnests,3
burdening,1
branches,5
swung,4
wrecks,1
stormy,10
sea,90
where,387
birds,23
thinking,92
rookswhat,1
has,423
become,40
we,1462
thoughtmr,1
thoughtit,1
large,74
nests,3
ones,16
deserted,13
foot,49
calls,15
theres,97
rook,1
near,132
takes,19
trust,50
sees,5
speak,129
unkindly,2
suppose,139
momentary,5
intention,33
committing,2
assault,3
battery,2
settled,45
training,2
encounter,6
passed,98
action,29
rising,35
sat,267
meekly,7
fainted,6
restored,11
whichever,1
latter,24
standing,81
twilight,8
shading,3
darkness,8
dimly,5
each,91
done,264
aid,7
well,550
taking,121
casual,2
prospect,27
expect,40
tremble,7
faltered,12
whats,41
matter,101
die,41
good,533
helpless,7
manner,197
course,159
its,525
call,115
girl,106
innocently,8
unconsciously,5
quoting,1
sentiment,15
pincushion,3
applying,6
servantgirl,1
peggotty,701
repeated,57
human,31
church,45
got,295
named,9
surname,4
same,255
opening,34
mistress,10
unwell,5
dawdle,1
issued,3
mandate,1
potentiality,1
recognized,11
authority,13
confront,1
amazed,8
along,103
sound,52
voice,160
shut,67
speaking,57
presentiment,6
boy,163
liberty,33
putting,73
contradict,2
girls,36
intend,7
friend,211
godmother,5
beg,50
youll,77
mistakes,5
trifling,5
affections,13
brought,128
guarded,4
reposing,3
foolish,24
deserved,9
care,94
twitch,1
betseys,3
sentences,3
wrongs,4
working,21
repressed,3
plainer,6
reference,47
constraint,15
least,110
observed,135
glimmer,1
scared,8
uneasy,26
subdued,10
bewildered,7
altogether,46
observe,47
anything,260
clearly,10
silent,47
motions,4
gradually,33
ceased,16
comfortable,45
together,152
spoilt,1
dependent,1
rough,33
fear,40
sobbed,13
equally,16
matched,2
childif,1
matchedand,1
orphan,7
werent,3
governess,2
nurserygoverness,1
visit,54
kind,137
deal,121
notice,34
paid,45
attention,56
proposed,37
accepted,12
simply,7
ha,39
mused,4
pardon,37
keeping,40
instance,16
wish,118
teaching,3
parenthesis,1
improved,22
anxious,36
learn,27
patient,14
teach,11
misfortune,13
deathmy,1
broke,45
farther,16
housekeepingbook,2
regularly,10
balanced,3
burst,41
distress,23
breaking,29
word,145
difference,18
respecting,8
objected,6
threes,1
fives,1
curly,6
tails,2
sevens,4
nines,1
resumed,35
yourself,88
ill,148
goddaughter,1
mustnt,8
argument,3
share,19
quieting,1
though,264
increasing,2
indisposition,3
larger,6
interval,20
silence,64
broken,41
occasionally,20
ejaculating,1
annuity,3
answering,10
difficulty,44
considerate,6
secure,2
reversion,1
hundred,44
worse,35
appropriate,9
teaboard,1
candles,13
seeing,72
wasas,1
sooner,23
enoughconveyed,1
speed,4
dispatched,3
ham,134
nephew,15
days,121
past,73
secreted,3
unknown,14
special,6
messenger,1
case,81
emergency,1
fetch,11
doctor,235
those,201
allied,2
powers,11
considerably,5
astonished,17
arrived,28
minutes,37
portentous,3
bonnet,33
tied,23
arm,122
stopping,24
ears,38
jewellers,4
cotton,8
knowing,60
saying,79
mystery,16
magazine,3
pocket,59
sticking,10
article,10
detract,1
solemnity,4
presence,42
satisfied,23
probability,13
sit,69
polite,9
social,5
meekest,4
sex,12
mildest,1
men,59
sidled,2
space,12
walked,128
softly,46
ghost,10
partly,17
modest,15
depreciation,2
propitiation,1
everybody,43
hadnt,28
dog,36
thrown,38
mad,30
gently,24
half,143
fragment,4
spoke,86
wouldnt,94
rude,4
quick,23
earthly,7
chillip,63
mildly,11
making,127
bow,23
allusion,20
touched,30
ear,23
irritation,2
replied,209
pulling,5
alarmed,12
abruptnessas,1
afterwardsthat,1
mercy,14
didnt,99
lose,23
sweetly,2
nonsense,29
corked,2
blow,29
feebly,8
quarter,21
absence,21
nearest,12
arewe,2
progressing,2
baaah,1
perfect,49
shake,28
contemptuous,5
interjection,1
reallyreallyas,1
almost,108
shocked,10
professional,20
point,66
view,44
nearly,31
yaaah,1
snarl,3
absolutely,9
bear,85
calculated,8
break,24
spirit,30
draught,2
sent,47
national,3
school,101
dragon,3
catechism,2
regarded,21
credible,1
witness,10
reported,7
next,147
happening,7
peep,8
parlourdoor,2
instantly,10
descried,3
fro,23
pounced,4
escape,12
occasional,9
sounds,10
voices,16
overhead,2
inferred,5
exclude,2
circumstance,17
evidently,25
clutched,1
victim,12
expend,1
superabundant,1
loudest,2
marching,2
constantly,28
collar,9
laudanum,1
times,133
shook,109
rumpled,2
linen,7
stopped,77
confounded,8
otherwise,41
tousled,1
maltreated,1
confirmed,12
soon,174
release,9
affirmed,1
red,71
mild,15
possibly,19
malice,5
congratulate,5
sharply,9
fluttered,6
extreme,11
severity,4
aunts,74
smile,82
mollify,1
man,367
doing,88
impatiently,7
cant,107
calm,34
softest,2
accents,1
longer,34
occasion,84
uneasiness,16
considered,63
miracle,2
quail,1
courage,15
during,38
devoted,36
delivery,2
oration,1
eyed,8
narrowly,5
folding,9
young,285
under,169
melancholy,17
domestic,28
circumstances,66
presently,44
amiable,18
bird,15
apprehended,1
strings,4
sling,1
aimed,1
chillips,6
vanished,5
discontented,5
fairy,9
supernatural,2
beings,6
popularly,1
supposed,66
entitled,2
lay,103
basket,17
land,13
dreams,16
shadows,10
tremendous,15
region,6
whence,4
lately,21
travelled,9
shone,8
bourne,1
travellers,4
mound,2
above,56
ashes,15
dust,17
objects,20
assume,4
distinct,11
blank,15
infancy,4
pretty,154
shape,20
darken,2
whole,138
cheeks,13
wondered,28
peck,3
preference,7
apples,5
distance,45
apart,16
dwarfed,2
sight,54
stooping,6
kneeling,7
floor,33
unsteadily,2
impression,44
distinguish,9
actual,5
peggottys,74
forefinger,14
hold,64
roughened,1
needlework,7
nutmeggrater,2
memory,37
most,231
power,51
observation,27
numbers,3
children,58
wonderful,39
closeness,2
accuracy,2
grown,21
respect,44
propriety,3
lost,77
faculty,3
acquired,6
rather,146
generally,42
retain,2
certain,85
freshness,4
gentleness,7
capacity,12
pleased,55
also,63
preserved,13
childhood,16
misgiving,5
brings,7
build,2
conclusions,3
experience,32
appear,29
set,114
undoubtedly,3
characteristics,1
themselves,50
confusion,27
things,120
comes,57
cloud,15
housenot,2
new,146
familiar,30
earliest,6
kitchen,43
yard,29
pigeonhouse,2
pole,3
centre,8
pigeons,1
dogkennel,3
quantity,12
fowls,2
terribly,3
menacing,1
ferocious,6
cock,1
gets,13
post,19
crow,1
seems,43
makes,41
shiver,4
fierce,8
geese,1
sidegate,1
waddling,3
necks,2
stretched,7
dream,36
environed,1
beasts,1
lions,5
passagewhat,1
enormous,8
perspective,6
itleading,1
front,29
storeroom,1
opens,3
place,236
run,49
tubs,2
jars,2
teachests,2
dimlyburning,1
letting,5
mouldy,2
air,128
smell,23
soap,2
pickles,2
pepper,4
coffee,24
whiff,1
parlours,2
peggottyfor,1
companion,32
aloneand,1
sunday,25
grandly,1
comfortably,9
doleful,4
mei,4
apparently,5
ages,7
agoabout,1
black,76
cloaks,1
reads,2
lazarus,1
raised,44
frightened,35
obliged,61
quiet,84
bedroom,33
graves,3
rest,89
below,13
solemn,18
moon,16
anywhere,26
grass,10
shady,5
trees,26
tombstones,1
sheep,5
feeding,3
kneel,1
early,69
morning,216
closet,6
shining,35
sundial,2
glad,129
wonder,77
pew,6
highbacked,1
mornings,11
service,54
likes,11
robbed,4
flames,3
eye,87
wanders,3
offended,8
does,82
frowns,1
stand,48
seat,39
clergyman,10
himi,4
wondering,29
stare,9
inquireand,1
dreadful,27
gape,2
pretends,5
aisle,2
faces,22
sunlight,8
porch,3
stray,10
sheepi,1
sinner,1
muttonhalf,1
tempted,8
loud,10
monumental,1
tablets,6
wall,51
try,64
bodgers,3
parish,4
feelings,46
affliction,12
sore,9
bore,18
physicians,2
reminded,24
week,67
neckcloth,4
pulpit,2
play,25
castle,5
attack,2
velvet,8
cushion,4
tassels,2
seeming,6
hear,145
singing,20
drowsy,4
song,14
heat,11
fall,35
crash,1
latticed,1
bedroomwindows,1
sweetsmelling,1
dangling,3
beyond,47
empty,29
area,3
preserve,1
butterflies,7
high,63
fence,2
gate,32
padlock,1
fruit,8
clusters,3
riper,2
richer,4
gathers,1
bolting,2
furtive,1
gooseberries,1
unmoved,1
rises,7
summer,14
playing,26
winter,15
dancing,16
breath,53
rests,5
elbowchair,8
watch,36
winding,5
curls,22
fingers,20
straitening,1
waist,10
knows,73
proud,47
impressions,5
submitted,6
ourselves,35
direction,30
opinionsif,1
calledthat,1
derived,7
crocodiles,3
read,100
perspicuously,1
soul,47
deeply,21
interested,22
cloudy,2
sort,119
vegetable,4
tired,26
sleepy,9
leave,141
treat,11
spending,4
neighbours,8
stage,15
sleepiness,1
swell,4
grow,15
immensely,3
propped,1
eyelids,2
forefingers,2
perseveringly,1
bit,43
waxcandle,6
threadhow,1
wrinkled,1
directionsat,1
thatched,1
roof,34
yardmeasure,6
workbox,8
sliding,4
lid,7
st,24
pauls,17
cathedral,20
pink,5
dome,1
painted,10
top,47
brass,7
thimble,3
finger,28
thought,443
lovely,14
says,105
lord,31
master,192
davy,164
start,22
awoke,23
needle,9
drawn,20
threads,3
length,62
ant,13
different,47
style,7
certainly,72
beauty,33
example,13
footstool,2
nosegay,2
groundwork,1
stool,13
complexion,8
appeared,101
smooth,14
lawk,1
knowyou,2
marry,23
person,81
promptest,1
decision,7
dies,1
maynt,1
choose,13
thats,140
opinion,88
curiously,5
indecision,1
cross,33
minute,45
mistaken,24
aside,19
stocking,6
wide,24
squeeze,12
plump,1
whenever,28
exertion,6
dressed,30
buttons,6
gown,11
flew,6
bursting,9
hugging,3
crorkindills,1
right,184
enough,153
understand,79
queer,6
ready,80
however,102
monsters,3
fresh,27
wakefulness,2
eggs,1
sand,8
hatch,1
baffled,1
turning,65
unable,27
quickly,21
account,99
unwieldy,1
natives,2
sharp,38
pieces,17
timber,2
throats,1
crocodile,9
gauntlet,4
doubts,16
thoughtfully,27
various,27
parts,8
exhausted,7
begun,26
alligators,1
gardenbell,1
rang,17
gentleman,110
whiskers,11
stooped,4
threshold,4
kiss,39
highly,24
fellow,112
monarchor,1
later,14
understanding,20
sensible,35
shoulder,54
patted,11
somehow,19
deep,42
jealous,12
touching,31
mewhich,2
remonstrated,7
devotion,15
colour,23
chid,2
shawl,12
turned,171
thank,81
trouble,51
bring,71
glanced,26
fine,47
headi,1
himover,1
glove,5
friends,75
laughing,74
wrong,48
laughed,65
drew,31
resolved,36
former,40
reason,71
give,176
brave,8
illomened,1
moved,34
secured,5
fastenings,1
contrary,26
usual,80
habit,17
remained,63
pleasant,53
stiff,19
barrel,2
candlestick,3
cheerful,40
agreeable,51
change,81
suggested,18
continuing,5
motionless,7
middle,17
resuming,11
asleep,21
hearing,31
doze,1
talking,54
swear,6
heavens,9
drive,14
illused,6
servants,8
injustice,6
god,51
motheryou,1
heartto,1
bitter,8
aware,41
havent,25
mores,1
wont,64
noi,1
emphatic,1
aggravating,3
shedding,2
talk,64
unjust,5
arranged,23
cruel,31
commonest,3
civilities,1
admiration,29
silly,19
indulge,3
ask,107
shave,2
disfigure,1
burn,3
scald,1
youd,22
enjoy,13
aspersion,1
caressing,3
wanting,12
affection,44
precious,23
treasure,13
dearest,42
infer,7
unkind,2
creature,67
buy,22
parasol,4
frayed,1
fringe,1
mangy,1
deny,15
cheek,23
naughty,11
mama,52
nasty,1
selfish,12
bad,72
acrying,4
party,29
sincere,5
heartbroken,1
transports,3
wounded,7
tenderness,12
beast,5
honest,22
buttonless,1
volley,1
explosives,1
kneeled,7
greatly,31
dejected,6
sobs,7
waking,12
sob,6
hoisted,1
coverlet,1
leaning,32
slept,20
soundly,3
following,27
lapse,4
reappeared,8
recall,23
profess,3
clear,40
dates,3
famous,14
geranium,3
parlourwindow,2
blossom,18
refused,7
thati,2
whyso,1
plucked,4
fool,18
deferred,4
muchmore,1
occurred,30
meand,8
three,141
excellent,27
sometimes,130
fancied,26
wearing,11
dresses,4
drawers,10
satisfaction,51
jealousy,5
childs,11
dislike,6
general,68
idea,93
older,21
net,5
number,28
catching,4
autumn,6
murdstonei,1
nowcame,1
horseback,4
reined,1
horse,30
salute,1
lowestoft,6
yacht,2
merrily,5
saddle,1
ride,23
snorting,2
pawing,1
gardengate,8
desire,29
spruce,2
meantime,9
murdstone,297
dismounted,2
horses,22
bridle,4
outer,14
sweetbriar,3
inner,8
peeping,9
closely,12
examining,3
strolled,11
angelic,2
brushed,8
excessively,2
trotting,3
turf,4
road,79
restless,13
usually,20
shallow,2
eyei,1
want,133
express,48
depth,4
intowhich,1
abstracted,2
peculiarity,5
disfigured,5
cast,35
awe,9
blacker,2
thicker,2
given,70
credit,17
squareness,1
lower,19
dotted,2
indication,3
beard,3
shaved,2
waxwork,2
halfayear,1
regular,14
eyebrows,20
rich,13
brown,22
complexionconfound,1
memorymade,1
spite,17
misgivings,4
hotel,17
gentlemen,47
smoking,14
cigars,2
four,38
chairs,8
jacket,23
heap,12
coats,7
boatcloaks,1
flag,3
bundled,2
rolled,14
untidy,2
halloa,1
whos,8
shaver,1
jones,5
bewitching,5
encumbrance,2
quinion,31
please,85
somebodys,4
curious,26
brooks,14
sheffield,9
relieved,24
comical,4
reputation,13
mentioned,62
amused,10
projected,1
understands,3
favourable,12
laughter,15
ring,21
drink,29
wine,47
biscuit,3
drank,17
toast,20
received,55
applause,3
hearty,13
laugh,48
enjoyed,17
cliff,2
telescopei,1
pretended,16
couldand,1
dinner,110
smoked,4
incessantlywhich,1
judge,36
tailors,2
forget,56
board,23
descended,4
cabin,2
busy,30
papers,38
skylight,1
nice,13
shiny,2
hat,50
crossbarred,1
shirt,10
waistcoat,16
skylark,2
letters,45
across,54
chest,15
ship,27
street,90
meant,54
vessel,5
graver,3
steadier,3
gay,12
careless,4
joked,1
freely,12
clever,13
cold,43
feeling,98
twice,23
sideways,10
displeased,3
passnidge,1
trod,5
secret,39
caution,5
stern,14
jokeand,1
stroll,6
impudent,5
fellows,12
talked,44
nonsensebut,1
opportunity,41
asking,19
manufacturer,1
knife,24
fork,21
facealtered,1
perished,2
isthat,1
instant,19
crowded,6
innocent,32
girlish,5
faded,10
falls,6
changed,48
thus,53
truer,3
loving,32
youth,31
holds,4
fast,35
cherished,6
write,70
bid,5
playfully,5
laying,27
chin,52
lips,54
stop,45
wasnt,25
stoutly,1
interposed,24
covering,12
ridiculous,18
ma,2
angry,24
dreadfully,11
promised,19
kissed,31
broached,2
striking,19
adventurous,2
proposition,5
probably,22
box,53
mouth,44
itwhich,1
merely,23
gaping,1
alarmedsaid,1
coaxingly,5
fortnight,13
brothers,19
yarmouth,53
brother,64
inquired,69
provisionally,1
holding,37
boats,10
ships,16
fishermen,2
beach,27
chapter,8
morsel,6
english,11
grammar,5
flushed,9
summary,3
delights,3
bet,1
guinea,6
intent,12
shell,15
elbows,3
table,122
argue,3
hole,9
sudden,26
heel,4
worth,29
darning,3
shes,54
stay,41
grayper,3
graypers,2
lot,12
waited,15
utmost,35
impatience,5
neighbour,4
ascertain,4
carry,26
surprised,62
expected,65
entered,41
readily,12
lodging,23
fever,9
expectation,7
earthquake,3
fiery,7
mountain,3
convulsion,1
nature,74
interpose,5
expedition,9
carriers,6
cart,34
departed,18
breakfast,60
allowed,22
wrap,1
overnight,6
sleep,71
boots,26
touches,2
although,36
lightly,9
eager,7
kissing,15
grateful,22
fondness,6
beat,23
carrier,26
move,23
dwell,3
earnestness,24
lifted,25
expostulate,1
awning,1
denoted,1
reverie,4
supposititious,1
employed,22
tale,4
able,40
track,13
shed,33
laziest,1
shuffled,5
waiting,46
packages,2
directed,22
chuckled,4
audibly,1
troubled,18
cough,5
drooping,6
sleepily,1
drove,21
knees,25
struck,38
conversation,45
whistling,4
refreshments,2
lasted,15
handsomely,4
conveyance,4
ate,14
handle,8
relaxed,2
defenceless,2
snored,1
deviations,1
lanes,3
delivering,4
bedstead,9
publichouse,15
places,25
spongy,1
soppy,1
dull,36
river,28
geography,2
reflected,8
situated,5
poles,2
nearer,31
adjacent,2
straight,23
line,27
sky,30
separated,6
town,72
tide,19
mixed,9
nicer,1
bloater,1
smelt,7
fish,15
pitch,3
oakum,1
tar,1
sailors,9
carts,3
jingling,4
stones,13
expressions,14
delight,34
complacency,2
fortune,21
bloaters,1
finest,2
universe,2
heres,19
screamed,2
growed,9
acquaintance,25
naturally,32
advantage,18
intimacy,5
advanced,19
huge,4
broad,17
proportion,2
roundshouldered,1
simpering,4
boys,91
sheepish,2
canvas,4
trousers,12
legs,42
properly,7
wore,24
covered,30
atop,1
building,12
pitchy,1
carrying,27
ours,11
bestrewn,1
bits,5
chips,1
hillocks,1
gasworks,1
ropewalks,1
boatbuilders,1
yards,9
shipwrights,1
shipbreakers,1
caulkers,1
riggers,1
lofts,1
smiths,2
forges,1
litter,2
yons,1
masr,112
directions,14
wilderness,2
barge,1
superannuated,1
boat,56
dry,24
iron,13
funnel,1
chimney,7
cosily,2
habitation,2
visible,10
shiplooking,1
aladdins,1
palace,3
rocs,1
egg,5
charmed,11
romantic,8
living,32
delightful,40
cut,41
roofed,2
windows,33
charm,5
real,29
hundreds,4
intended,13
captivation,1
inconvenient,7
lonely,15
designed,3
use,52
abode,7
beautifully,6
clean,10
inside,19
tidy,1
teatray,1
painting,7
militarylooking,1
trundling,1
hoop,1
tray,8
tumbling,7
bible,1
tumbled,18
smashed,1
cups,3
saucers,2
teapot,3
grouped,2
around,26
walls,16
common,46
coloured,4
pictures,11
framed,3
glazed,1
scripture,1
subjects,13
pedlars,1
interior,1
abraham,1
sacrifice,20
isaac,1
blue,46
daniel,1
yellow,6
den,3
prominent,4
mantelshelf,2
picture,47
sarah,7
jane,28
lugger,1
built,4
sunderland,1
wooden,37
stuck,6
art,30
combining,1
composition,11
carpentry,1
enviable,2
possessions,5
afford,11
hooks,2
beams,9
ceiling,8
divine,5
lockers,3
boxes,10
served,7
seats,6
eked,1
crossed,9
thresholdchildlike,1
theoryand,1
showed,38
completest,1
desirable,6
seenin,1
rudder,2
lookingglass,4
height,16
nailed,6
oystershells,1
seaweed,4
mug,3
whitewashed,1
milk,10
patchwork,2
counterpane,2
ache,4
brightness,5
particularly,49
noticed,20
searching,6
pockethandkerchief,20
wipe,2
exactly,59
wrapped,10
lobster,4
imparting,3
discovery,13
dealt,4
lobsters,4
crabs,3
crawfish,2
conglomeration,2
leaving,38
pinching,3
whatever,67
outhouse,3
pots,4
kettles,1
civil,5
apron,17
curtseying,1
hams,8
mile,16
likewise,17
necklace,2
beads,4
hid,9
dined,21
sumptuous,4
boiled,7
dabs,1
melted,7
butter,8
potatoes,9
chop,7
hairy,2
goodnatured,8
lass,2
smack,1
conduct,14
outbeing,1
introduced,12
